Profile,Degree,Field,Institution,Year,Certifications,Normalized Degree,Certification Tag
1,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
2,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
3,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
4,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
5,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
6,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
7,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
8,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
9,MBA,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA, EXCEL",Master of Business Administration,Professional
10,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
11,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
12,BACHELOR,Commerce,Not Mentioned,Not Mentioned,"CA, EXCEL",BACHELOR,Professional
13,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
14,BACHELOR,Finance,Not Mentioned,Not Mentioned,CA,BACHELOR,Professional
15,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
16,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, CMA, EXCEL",Not Mentioned,Professional
17,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
18,Not Mentioned,Accounting,Not Mentioned,Not Mentioned,"CA, CMA",Not Mentioned,Professional
19,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, CMA, EXCEL",Not Mentioned,Professional
20,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
21,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
22,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
23,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
24,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
25,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
26,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"GST, CA",Not Mentioned,Professional
27,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
28,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
29,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
30,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
31,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
32,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
33,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
34,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
35,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
36,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
37,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
38,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
39,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
40,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
41,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
42,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
43,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
44,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
45,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
46,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
47,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
48,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
49,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
50,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
51,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
52,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
53,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
54,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
55,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
56,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
57,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
58,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
59,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
60,MBA,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Master of Business Administration,Professional
61,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
62,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
63,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
64,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, EXCEL",Not Mentioned,Professional
65,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
66,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"CA, CMA, EXCEL",Not Mentioned,Professional
67,MBA,Finance,Not Mentioned,Not Mentioned,CA,Master of Business Administration,Professional
68,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
69,Not Mentioned,Accounting,Not Mentioned,Not Mentioned,"CA, CMA",Not Mentioned,Professional
70,MBA,Finance,Not Mentioned,Not Mentioned,CA,Master of Business Administration,Professional
71,Not Mentioned,Accounting,Not Mentioned,Not Mentioned,"CA, CMA",Not Mentioned,Professional
72,Not Mentioned,Accounting,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
73,MBA,Finance,Not Mentioned,Not Mentioned,CA,Master of Business Administration,Professional
74,MBA,Finance,Not Mentioned,Not Mentioned,CA,Master of Business Administration,Professional
75,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
76,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
77,Not Mentioned,Accounting,Not Mentioned,Not Mentioned,"CA, CMA",Not Mentioned,Professional
78,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
79,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
80,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
81,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
82,Not Mentioned,Accounting,Not Mentioned,Not Mentioned,"CA, CMA",Not Mentioned,Professional
83,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
84,Not Mentioned,Finance,Not Mentioned,Not Mentioned,CA,Not Mentioned,Professional
85,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"GST, TALLY, CA, CMA",Not Mentioned,Professional
86,Not Mentioned,Finance,Not Mentioned,Not Mentioned,"GST, CA, EXCEL",Not Mentioned,Professional
87,MBA,Finance,Not Mentioned,Not Mentioned,"CA, CMA",Master of Business Administration,Professional
88,Not Mentioned,Business,Not Mentioned,Not Mentioned,"CA, CMA",Not Mentioned,Professional
89,Not Mentioned,Commerce,Not Mentioned,Not Mentioned,"GST, CA, CMA",Not Mentioned,Professional
